SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS094_Aligned--06_immune_output,2,3,0,12,2,2,0,2,4,0,12,2,2,0,0.6931471805600001,1.0397207708399998,0,2.48490664979,0.6931471805600001,0.6931471805600001,0
PIVUS095_Aligned--06_immune_output,2,0,0,13,7,1,0,5,0,0,16,15,2,0,0.6730116670090001,0,0,2.51265852953,1.8413903748500002,-0.0,0
PIVUS096_Aligned--06_immune_output,5,0,1,14,4,1,0,5,0,9,24,5,2,0,1.60943791243,0,-0.0,2.52086690884,1.33217904021,-0.0,0
PIVUS097_Aligned--06_immune_output,1,0,0,17,5,0,0,2,0,0,29,7,0,0,-0.0,0,0,2.7097674512900003,1.4750763110499998,0.0,0
PIVUS098_Aligned--06_immune_output,1,0,0,9,1,0,0,2,0,0,15,6,0,0,-0.0,0,0,2.0837660374900002,-0.0,0.0,0
PIVUS099_Aligned--06_immune_output,2,0,0,17,7,1,0,2,0,0,30,23,1,0,0.6931471805600001,0,0,2.73070340601,1.3843718918999999,-0.0,0
PIVUS100_Aligned--06_immune_output,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0.0,0,0,1.9915093613599997,0.0,0.0,0
PIVUS101_Aligned--06_immune_output,1,0,0,11,0,2,0,4,0,0,17,0,2,0,-0.0,0,0,2.31315367873,0.0,0.6931471805600001,0
PIVUS102_Aligned--06_immune_output,2,0,0,10,2,0,0,3,0,0,19,2,0,0,0.636514168295,0,0,2.11430813095,0.6931471805600001,0.0,0
PIVUS103_Aligned--06_immune_output,0,0,0,9,5,0,0,0,0,0,12,13,0,0,0.0,0,0,2.09472904753,1.04379388084,0.0,0
PIVUS104_Aligned--06_immune_output,0,0,0,11,3,1,0,0,0,0,15,4,1,0,0.0,0,0,2.3383717047999997,1.0397207708399998,-0.0,0
PIVUS105_Aligned--06_immune_output,1,0,0,12,2,0,0,1,0,0,19,3,0,0,-0.0,0,0,2.37862019941,0.636514168295,0.0,0
PIVUS106_Aligned--06_immune_output,0,0,0,11,0,1,0,0,0,0,20,0,1,0,0.0,0,0,2.2206367979799997,0.0,-0.0,0
PIVUS107_Aligned--06_immune_output,1,0,1,13,5,1,0,2,0,2,23,11,1,0,-0.0,0,-0.0,2.3021660208,1.46813993902,-0.0,0
PIVUS108_Aligned--06_immune_output,1,1,0,9,1,0,0,1,2,0,16,2,0,0,-0.0,-0.0,0,2.04673853269,-0.0,0.0,0
PIVUS109_Aligned--06_immune_output,4,0,0,14,4,1,0,7,0,0,21,11,1,0,1.2770342594700002,0,0,2.55750773908,1.0335620542100001,-0.0,0
PIVUS110_Aligned--06_immune_output,0,0,0,14,1,0,0,0,0,0,23,1,0,0,0.0,0,0,2.52478144717,-0.0,0.0,0
PIVUS111_Aligned--06_immune_output,1,0,0,13,4,0,0,1,0,0,20,6,0,0,-0.0,0,0,2.41505212192,1.2424533248899998,0.0,0
PIVUS112_Aligned--06_immune_output,0,1,0,12,2,1,0,0,1,0,16,3,1,0,0.0,-0.0,0,2.42601513196,0.636514168295,-0.0,0
PIVUS113_Aligned--06_immune_output,2,0,0,16,1,1,0,2,0,0,23,6,1,0,0.6931471805600001,0,0,2.6908286215099997,-0.0,-0.0,0
PIVUS114_Aligned--06_immune_output,2,0,0,19,4,0,0,2,0,0,28,9,0,0,0.6931471805600001,0,0,2.77856488476,1.21488965395,0.0,0
PIVUS115_Aligned--06_immune_output,2,0,0,14,5,1,0,3,0,0,19,11,2,0,0.636514168295,0,0,2.5245459216299997,1.5465986860499998,-0.0,0
PIVUS116_Aligned--06_immune_output,1,0,0,13,1,0,0,6,0,0,19,3,0,0,-0.0,0,0,2.4061595754,-0.0,0.0,0
PIVUS117_Aligned--06_immune_output,3,0,0,29,3,0,0,6,0,0,99,13,0,0,1.0114042647100001,0,0,2.99308793205,0.8587409130060001,0.0,0
PIVUS118_Aligned--06_immune_output,0,0,1,25,6,1,0,0,0,3,56,21,2,0,0.0,0,-0.0,3.0796559884400003,1.4831929362399998,-0.0,0
PIVUS119_Aligned--06_immune_output,0,0,0,25,3,0,0,0,0,0,62,4,0,0,0.0,0,0,3.0255969038300004,1.0397207708399998,0.0,0
PIVUS120_Aligned--06_immune_output,1,0,0,28,2,1,0,2,0,0,66,34,1,0,-0.0,0,0,3.07583955752,0.22371807606600003,-0.0,0
PIVUS121_Aligned--06_immune_output,2,1,1,16,2,1,0,5,4,2,36,3,1,0,0.6730116670090001,-0.0,-0.0,2.49317550177,0.636514168295,-0.0,0
PIVUS122_Aligned--06_immune_output,8,1,0,26,6,4,0,8,1,0,64,11,4,0,2.0794415416799996,-0.0,0,3.0370264410400005,1.42057192595,1.3862943611200003,0
PIVUS123_Aligned--06_immune_output,2,0,0,27,5,2,0,6,0,0,63,26,3,0,0.636514168295,0,0,2.98905729055,1.1617251070899999,0.636514168295,0
PIVUS124_Aligned--06_immune_output,1,1,0,27,2,0,0,2,2,0,55,33,0,0,-0.0,-0.0,0,3.10278320347,0.135793958752,0.0,0
PIVUS125_Aligned--06_immune_output,1,0,0,31,4,1,0,1,0,0,83,8,2,0,-0.0,0,0,3.2289276035900003,1.25548232518,-0.0,0
PIVUS126_Aligned--06_immune_output,1,0,1,32,2,2,0,1,0,1,88,2,2,0,-0.0,0,-0.0,3.2393245316500003,0.6931471805600001,0.6931471805600001,0
PIVUS127_Aligned--06_immune_output,2,0,0,26,0,0,0,3,0,0,74,0,0,0,0.636514168295,0,0,3.00481324645,0.0,0.0,0
PIVUS128_Aligned--06_immune_output,1,0,1,28,1,0,0,1,0,1,84,4,0,0,-0.0,0,-0.0,3.0053899519800003,-0.0,0.0,0
PIVUS129_Aligned--06_immune_output,2,2,0,31,2,1,0,4,93,0,97,8,1,0,0.562335144619,0.142505867393,0,3.1354222794499997,0.37677016125600005,-0.0,0
PIVUS130_Aligned--06_immune_output,1,0,0,31,2,1,0,1,0,0,96,2,1,0,-0.0,0,0,3.20553366523,0.6931471805600001,-0.0,0
PIVUS131_Aligned--06_immune_output,1,0,0,38,5,2,0,1,0,0,129,8,2,0,-0.0,0,0,3.31526878231,1.3862943611200003,0.6931471805600001,0
PIVUS132_Aligned--06_immune_output,2,0,0,37,6,2,0,3,0,0,137,8,7,0,0.636514168295,0,0,3.1968874173699997,1.7328679513999998,0.410116318288,0
PIVUS133_Aligned--06_immune_output,3,1,1,24,5,0,0,5,1,3,52,53,0,0,0.950270539233,-0.0,-0.0,2.9558972376700003,0.438142047803,0.0,0
PIVUS134_Aligned--06_immune_output,3,0,0,32,4,0,0,3,0,0,79,5,0,0,1.09861228867,0,0,3.08861698149,1.33217904021,0.0,0
PIVUS135_Aligned--06_immune_output,2,0,1,26,4,2,0,5,0,1,91,4,4,0,0.6730116670090001,0,-0.0,2.73740179042,1.3862943611200003,0.562335144619,0
PIVUS136_Aligned--06_immune_output,9,0,0,31,4,0,1,22,0,0,68,7,0,1,2.00313771339,0,0,3.2164459801599996,1.2770342594700002,0.0,-0.0
PIVUS137_Aligned--06_immune_output,3,0,0,31,4,0,0,6,0,0,60,9,0,0,0.8675632284810001,0,0,3.25175835028,1.21488965395,0.0,0
PIVUS138_Aligned--06_immune_output,1,0,0,30,6,1,0,5,0,0,79,9,1,0,-0.0,0,0,3.1904150583399997,1.7351264569599998,-0.0,0
