SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS020_Aligned--06_immune_output,71,17,9,202,119,6,1,99,125,18,229,256,9,1,4.120598029180001,1.66444902005,2.0431918705500003,5.1883258123000005,4.14370777344,1.6769877743200001,-0.0
PIVUS021_Aligned--06_immune_output,45,8,5,194,44,2,0,60,66,7,201,77,2,0,3.6336985507599997,1.2047635323700001,1.4750763110499998,5.25502599996,3.50871469774,0.6931471805600001,0
PIVUS022_Aligned--06_immune_output,98,14,16,147,47,4,0,161,188,38,168,87,4,0,4.32494143176,1.06149294518,2.47170992135,4.92171539083,3.53968148738,1.3862943611200003,0
PIVUS023_Aligned--06_immune_output,151,24,18,193,145,0,0,226,297,102,209,301,0,0,4.844080364119999,1.3818939046,2.38291747908,5.226192135440001,4.31380870183,0.0,0
PIVUS024_Aligned--06_immune_output,130,12,17,241,84,2,1,223,180,63,263,167,4,1,4.58788765664,1.24044721524,2.53373575126,5.4376899362,3.92795352107,0.6931471805600001,-0.0
PIVUS027_Aligned--06_immune_output,105,18,11,225,109,2,0,228,495,95,237,233,2,0,4.29192107773,0.8657476094059999,1.8808166098400003,5.39345242543,4.1879218176099995,0.6931471805600001,0
PIVUS028_Aligned--06_immune_output,75,8,11,239,70,1,0,120,140,23,258,152,1,0,4.10567116468,0.793387335081,2.1858893592200004,5.435086137590001,3.8016433900499997,-0.0,0
PIVUS029_Aligned--06_immune_output,89,11,15,209,148,4,0,128,88,30,229,411,4,0,4.370651173540001,1.0458860450799998,2.43079132888,5.30659457306,4.10096905511,1.3862943611200003,0
PIVUS030_Aligned--06_immune_output,259,24,23,277,73,3,0,714,693,362,355,201,4,0,5.30428833119,1.26703632781,2.1886066666,5.49954364641,3.7750156858199997,1.0397207708399998,0
PIVUS031_Aligned--06_immune_output,165,18,17,200,107,2,0,203,162,57,220,345,3,0,5.015172452869999,1.45757762956,2.34237650628,5.253330382330001,3.73161471211,0.636514168295,0
PIVUS032_Aligned--06_immune_output,75,8,9,168,112,2,0,91,93,23,189,238,2,0,4.19190285763,1.14376738222,1.9940826365,5.05643347449,4.07451669367,0.6931471805600001,0
PIVUS033_Aligned--06_immune_output,154,13,10,205,108,4,1,199,145,34,237,286,6,1,4.90519143954,1.1146130659,1.9594278526599997,5.2194058737,3.89058962464,1.32966134885,-0.0
PIVUS034_Aligned--06_immune_output,73,9,4,121,115,3,1,97,86,9,156,390,3,6,4.19584137435,1.19217552804,1.27302833659,4.57719274007,3.93960186898,1.09861228867,-0.0
PIVUS035_Aligned--06_immune_output,249,28,16,131,128,0,0,442,605,103,145,296,0,0,5.28753221223,1.59576080095,2.2784534969799997,4.82971537304,4.21936820409,0.0,0
PIVUS036_Aligned--06_immune_output,75,19,14,79,82,2,0,180,321,33,92,199,2,0,4.01048359578,1.0116351863700002,2.4330687542700002,4.29376830002,3.7617200450599997,0.6931471805600001,0
PIVUS037_Aligned--06_immune_output,45,10,9,119,110,8,2,98,90,29,131,294,9,2,3.55569311857,1.2936787761700002,1.94553280603,4.74022000548,4.14405815919,2.0431918705500003,0.6931471805600001
PIVUS038_Aligned--06_immune_output,33,5,6,196,97,7,3,56,63,24,228,240,8,5,3.29966136784,0.5483450315339999,1.7045514452700001,5.2126331249,3.9532639659099997,1.9061547465400002,0.950270539233
PIVUS039_Aligned--06_immune_output,180,19,18,121,166,7,1,375,280,80,154,475,8,1,4.92259275955,1.5066042231999999,2.4282436066099997,4.68689330319,4.3251016467,1.9061547465400002,-0.0
PIVUS040_Aligned--06_immune_output,127,17,12,91,85,0,0,204,304,57,100,219,0,0,4.671936709980001,1.2383516088700002,1.8066453311500001,4.46470624917,3.59431378019,0.0,0
PIVUS041_Aligned--06_immune_output,126,15,10,185,129,5,0,171,158,35,203,412,6,0,4.63033651675,1.21209168485,2.0011060025400003,5.18512817221,3.99088180631,1.56071040904,0
PIVUS042_Aligned--06_immune_output,119,15,15,156,133,2,1,274,189,73,179,378,13,1,4.32405078324,1.1448681810899999,2.10749660857,5.00048907547,3.9599656501699996,0.5402041423889999,-0.0
PIVUS043_Aligned--06_immune_output,73,16,13,145,76,2,0,105,126,45,154,208,2,0,4.164539255899999,1.7780442513799999,2.21681379474,4.943535772840001,3.71636628258,0.6931471805600001,0
PIVUS044_Aligned--06_immune_output,10,6,2,119,42,4,0,23,80,2,146,104,6,0,2.03832143001,1.24692593486,0.6931471805600001,4.65467404252,3.5116177494699996,1.2424533248899998,0
PIVUS045_Aligned--06_immune_output,71,9,11,131,125,1,3,116,69,25,157,437,1,5,4.02158199194,1.16162978892,2.2106370232900003,4.79901022227,3.89912988994,-0.0,0.950270539233
PIVUS046_Aligned--06_immune_output,55,9,10,175,113,2,1,101,84,16,216,429,2,1,3.81176533639,1.14349278165,2.2200253278299997,5.06519391258,3.8572700976300003,0.6931471805600001,-0.0
